[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 41056651

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 40585487

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 19642491

[INFO] this weight = 0.106606723511, eventWeight = 3.53677296638, pileupWeight = 3.53677296638, genWeight = 1.0, nInt = 8, Run = 1, Event = 23974092

[INFO] this weight = 0.106606723511, eventWeight = 3.53677296638, pileupWeight = 3.53677296638, genWeight = 1.0, nInt = 8, Run = 1, Event = 36147145

[INFO] this weight = 0.080800284781, eventWeight = 2.68062138557, pileupWeight = 2.68062138557, genWeight = 1.0, nInt = 9, Run = 1, Event = 20502623

[INFO] this weight = -0.0646903335492, eventWeight = -2.14615941048, pileupWeight = 2.14615941048, genWeight = -1.0, nInt = 10, Run = 1, Event = 26500560

[INFO] this weight = -0.0646903335492, eventWeight = -2.14615941048, pileupWeight = 2.14615941048, genWeight = -1.0, nInt = 10, Run = 1, Event = 23546956

[INFO] this weight = 0.560053532963, eventWeight = 18.5802745819, pileupWeight = 18.5802745819, genWeight = 1.0, nInt = 3, Run = 1, Event = 35101717

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 38092838

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 36022181

[INFO] this weight = 0.193711625277, eventWeight = 6.42655563354, pileupWeight = 6.42655563354, genWeight = 1.0, nInt = 6, Run = 1, Event = 34560788

[INFO] this weight = 0.426138686596, eventWeight = 14.1375303268, pileupWeight = 14.1375303268, genWeight = 1.0, nInt = 1, Run = 1, Event = 34851022

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 38433542

[INFO] this weight = 0.080800284781, eventWeight = 2.68062138557, pileupWeight = 2.68062138557, genWeight = 1.0, nInt = 9, Run = 1, Event = 20281759

[INFO] this weight = 0.0646903335492, eventWeight = 2.14615941048, pileupWeight = 2.14615941048, genWeight = 1.0, nInt = 10, Run = 1, Event = 22676473

